age_group,area_id,area_name,area_idx,area_id_aggr,area_sort_order,center_x,center_y,cat_idx,y
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,1
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,1
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,1
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,1
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,1
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,1
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,1
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,1
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,1
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,1
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,1
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,1,0
